Code,Detailed codes,Cause
1001,A00-B99,Certain infectious and parasitic diseases
1002,A00,Cholera
1003,A09,Diarrhoea and gastroenteritis of presumed infectious origin
1004,A01-A08,Other intestinal infectious diseases
1005,A15-A16,Respiratory tuberculosis
1006,A17-A19,Other tuberculosis
1007,A20,Plague
1008,A33-A35,Tetanus
1009,A36,Diphtheria
1010,A37,Whooping cough
1011,A39,Meningococcal infection
1012,A40-A41,Septicaemia
1013,A50-A64,Infections with a predominantly sexual mode of transmission
1014,A80,Acute poliomyelitis
1015,A82,Rabies
1016,A95,Yellow fever
1017,"A90-A94, A96-A99",Other arthropod-borne viral fevers and viral haemorrhagic fevers
1018,B05,Measles
1019,B15-B19,Viral hepatitis
1020,B20-B24,Human immunodeficiency virus [HIV] disease
1021,B50-B54,Malaria
1022,B55,Leishmaniasis
1023,B56-B57,Trypanosomiasis
1024,B65,Schistosomiasis
1025,"A21-A32, A38, A42-A49, A65-A79, A81, A83-A89, B00-B04, B06-B09, B25-B49, B58-B64, B66-B94, B99",Remainder of certain infectious and parasitic diseases
1026,C00-D48,Neoplasms
1027,C00-C14,"Malignant neoplasm of lip, oral cavity and pharynx"
1028,C15,Malignant neoplasm of oesophagus
1029,C16,Malignant neoplasm of stomach
1030,C18-C21,"Malignant neoplasm of colon, rectum and anus"
1031,C22,Malignant neoplasm of liver and intrahepatic bile ducts
1032,C25,Malignant neoplasm of pancreas
1033,C32,Malignant neoplasm of larynx
1034,C33-C34,"Malignant neoplasm of trachea, bronchus and lung"
1035,C43,Malignant melanoma of skin
1036,C50,Malignant neoplasm of breast
1037,C53,Malignant neoplasm of cervix uteri
1038,C54-C55,Malignant neoplasm of other and unspecified parts of uterus
1039,C56,Malignant neoplasm of ovary
1040,C61,Malignant neoplasm of prostate
1041,C67,Malignant neoplasm of bladder
1042,C70-C72,"Malignant neoplasm of meninges, brain and other parts of central nervous system"
1043,C82-C85,Non-Hodgkin's lymphoma
1044,C90,Multiple myeloma and malignant plasma cell neoplasms
1045,C91-C95,Leukaemia
1046,"C17, C23-C24, C26-C31, C37-C41, C44-C49, C51-C52, C57-C60, C62-C66,C68-C69,C73-C81,C88,C96-C97",Remainder of malignant neoplasms
1047,D00-D48,Remainder of neoplasms 
