Country_code,Year,Cause_code,Sex,Deaths2,Deaths8,Deaths13,Deaths22,Cause,Country
3150,2008,B029,2,0.0,0.0,0.0,2.0,Hypertension without mention of heart,Israel
3150,2014,A090,1,1.0,0.0,0.0,7.0,Bronchopneumonia,Israel
3150,2012,B379,1,1.0,0.0,0.0,0.0,Remainder of B37,Israel
3150,2005,B182,2,0.0,0.0,1.0,9.0,Hyperlipoproteinaemia,Israel
3150,2008,C060,1,0.0,0.0,0.0,1.0,Chronic liver disease and cirrhosis,Israel
3150,2010,C069,2,0.0,0.0,0.0,1.0,Infections of the puerperium,Israel
3150,2012,A047,2,0.0,0.0,0.0,11.0,"Malignant neoplasm of intestine, except rectum",Israel
3150,2008,B023,2,0.0,0.0,0.0,1.0,Non-meningococcal meningitis,Israel
3150,2012,B259,1,1.0,0.0,0.0,1.0,Remainder of B25,Israel
3150,2014,C101,1,0.0,0.0,0.0,1.0,"Other accidents, adverse and late effects",Israel
3150,2012,B449,2,1.0,0.0,0.0,0.0,Remainder of B44,Israel
3150,2006,A048,1,0.0,0.0,0.0,9.0,Malignant neoplasm of rectum,Israel
3150,2006,C048,2,0.0,0.0,0.0,1.0,Pulmonary heart disease,Israel
3150,2014,A048,1,0.0,0.0,0.0,4.0,Malignant neoplasm of rectum,Israel
3150,2007,B029,2,0.0,0.0,0.0,1.0,Hypertension without mention of heart,Israel
3150,2007,B370,1,0.0,0.0,1.0,0.0,Diseases of breast,Israel
3150,2007,B181,1,0.0,0.0,0.0,1.0,Diabetes mellitus,Israel
3150,2007,B181,2,0.0,0.0,0.0,1.0,Diabetes mellitus,Israel
3150,2011,B004,2,0.0,1.0,0.0,1.0,Typhoid fever,Israel
3150,2007,B349,2,1.0,0.0,0.0,0.0,Remainder of B34,Israel
3150,2007,B349,1,1.0,0.0,0.0,0.0,Remainder of B34,Israel
3150,2008,B379,1,0.0,0.0,0.0,1.0,Remainder of B37,Israel
3150,2013,B182,1,0.0,0.0,2.0,2.0,Hyperlipoproteinaemia,Israel
3150,2013,A049,2,0.0,0.0,0.0,1.0,Malignant neoplasm of larynx,Israel
3150,2015,A047,1,0.0,0.0,0.0,11.0,"Malignant neoplasm of intestine, except rectum",Israel
3150,2014,B012,2,0.0,0.0,0.0,1.0,Acute poliomyelitis,Israel
3150,2005,A047,1,0.0,0.0,0.0,2.0,"Malignant neoplasm of intestine, except rectum",Israel
3150,2006,B023,2,0.0,0.0,0.0,1.0,Non-meningococcal meningitis,Israel
3150,2007,C029,2,0.0,0.0,0.0,3.0,Mal. neoplasm of female breast,Israel
3150,2005,B213,2,0.0,0.0,1.0,0.0,Other psychoses,Israel
3150,2014,B259,1,0.0,0.0,0.0,1.0,Remainder of B25,Israel
3150,2010,B379,2,0.0,0.0,0.0,1.0,Remainder of B37,Israel
3150,2012,B211,1,0.0,0.0,1.0,0.0,Schizophrenic psychoses,Israel
3150,2005,B209,2,0.0,0.0,2.0,0.0,Remainder of B20,Israel
3150,2009,C048,2,0.0,0.0,0.0,1.0,Pulmonary heart disease,Israel
3150,2008,A047,2,0.0,0.0,0.0,15.0,"Malignant neoplasm of intestine, except rectum",Israel
3150,2006,B24,2,0.0,0.0,1.0,0.0,Diseases of the ear and mastoid process,Israel
3150,2007,C029,1,0.0,0.0,0.0,1.0,Mal. neoplasm of female breast,Israel
3150,2012,C030,2,0.0,0.0,0.0,1.0,Mal. neoplasm of cervix uteri,Israel
3150,2007,A049,2,0.0,0.0,0.0,2.0,Malignant neoplasm of larynx,Israel
4310,2013,A047,1,0.0,0.0,0.0,48.0,"Malignant neoplasm of intestine, except rectum","United Kingdom, England and Wales"
